UPC,Description,Cost,QoH,Special Price Method,Unit Price,Group Price,Group Qty,Start Date,End Date,Net Sales,Foodstamp,Scale,Scanned Count
0000000000001,MOLA BLK 250G ,2.99,16,,,,,,,0,TRUE,FALSE,0
0000000000002,MONGLAI ,0.2,200,,,,,,,0,TRUE,FALSE,0
0000000000003,EGGROLL ,0.25,38,,,,,,,0,TRUE,FALSE,0
0000000000004,HILSHA(SLICE) ,7,28,,,,,,,0,TRUE,FALSE,0
0000000000005,GOAT HEAD ,3,-47,,,,,,,0,TRUE,FALSE,0
0000000000009,DAL PURI ,1.49,52,,,,,,,0,TRUE,FALSE,0
0000000000010,MAJESTIC MEDJOOL DATES ,34,10,,,,,,,0,TRUE,FALSE,0
0000000000011,Garam Masala Whole RK ,1.99,4,,,,,,,0,TRUE,FALSE,0
0000000001037,GREEN PEAS FRIED,1.79,12,,,,,,,0,TRUE,FALSE,0
0000000001119,MY CASHEW WHL 14OZ,5,8,,,,,,,0,TRUE,FALSE,0
0000000001120,MY CASHEW WHOLE 7OZ,2.7,12,,,,,,,0,TRUE,FALSE,0
0000000001122,MAYOORI SOJI 2 LB,2,6,,,,,,,0,TRUE,FALSE,0
0000000001143,MAYOORI WHOLE PEANUT 7 OZ,0.85,19,,,,,,,0,TRUE,FALSE,0
0000000001154,CARDAMOM 3.5 OZ,4.25,-13,,,,,,,0,TRUE,FALSE,0
0000000001155,CARDAMOM 2 OZ,3.95,7,,,,,,,0,TRUE,FALSE,0
0000000001191,MAYOORI PEANUT W/OUT SKIN,1.2,19,,,,,,,0,TRUE,FALSE,0
0000000001215,BAY LEAF,,6,,,,,,,0,TRUE,FALSE,0
0000000001234,mayoori Cinnamon skin 2 oz,1.5,7,,,,,,,0,TRUE,FALSE,0
0000000001261,MAYOORI DAL 2LB,,2,,,,,,,0,TRUE,FALSE,0
0000000001363,MAYOORI CUMIN 14 OZ,3.8,3,,,,,,,0,TRUE,FALSE,0
0000000001364,cumin 7oz,0.24,-10,,,,,,,0,TRUE,FALSE,0
0000000001451,G/L FULL ,8.79,-269.61,,,,,,,0,TRUE,TRUE,0
0000000001517,MAYOORI,1.65,9,,,,,,,0,TRUE,FALSE,0
0000000001573,MAYOORI CHILLI PDR KASMIRI 14OZ,2.875,-5,,,,,,,0,TRUE,FALSE,0
0000000001579,MAYOORI CHILLI PDR KASMIRI 7OZ,1.49,-11,,,,,,,0,TRUE,FALSE,0
0000000001635,MAYOORI PUJJA NUT ,1.79,40,,,,,,,0,TRUE,FALSE,0
0000000003002,FENNEL POWDER 7OZ,1.25,20,,,,,,,0,TRUE,FALSE,0
0000000004593,LONG CUCUMBER ,1.21,9.96,,,,,,,0,TRUE,TRUE,0
0000000013102,AJWAN POWDER 7OZ,1.7,20,,,,,,,0,TRUE,FALSE,0
0000000013403,MY AJINOMOTO 100GM,2.45,-3,,,,,,,0,TRUE,FALSE,0
0000000016056,garam masala powder 7oz,2.5,19,,,,,,,0,TRUE,FALSE,0
